,,,,,,,
Tên công ty,Công ty Cổ phần Đầu tư Thế Giới Di Động,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
12/03/2024,45786.0410092904,47522.2397474542,45686.8296528239,46381.3091480894,350,0.0075431034482758,17893000
11/03/2024,47125.3943215882,47919.0851733202,45885.2523657569,46034.0694004567,-1350,-0.0282722513089005,14467500
08/03/2024,48861.593059752,48861.593059752,46629.3375392557,47373.4227127544,-1250,-0.0255102040816326,21675600
07/03/2024,48315.9305991862,48861.593059752,47720.6624603872,48613.5646685857,300,0.00616016427104715,10102900
06/03/2024,49605.6782332507,49903.3123026502,47919.0851733202,48315.9305991862,-1300,-0.026,16337500
05/03/2024,47224.6056780547,49605.6782332507,47125.3943215882,49605.6782332507,2600,0.0548523206751055,23196300
04/03/2024,46232.4921133897,47571.8454256874,46232.4921133897,47026.1829651217,800,0.0171673819742488,17867800
01/03/2024,46182.8864351564,46926.9716086552,45736.4353310572,46232.4921133897,400,0.00865800865800859,16178500
29/02/2024,46034.0694004567,46629.3375392557,45637.2239745907,45835.6466875237,900,0.0198675496688743,15665800
28/02/2024,44645.1104099256,45488.4069398909,44397.0820187594,44942.7444793251,550,0.012290502793296,16527900
27/02/2024,44347.4763405261,44843.5331228586,44049.8422711266,44397.0820187594,400,0.00901916572717032,11787718
26/02/2024,43652.9968452606,44149.0536275931,42710.4889588289,44000.2365928934,350,0.00795454545454555,15854800
23/02/2024,44942.7444793251,45190.7728704914,43603.3911670274,43652.9968452606,-1300,-0.0286975717439294,17727600
22/02/2024,45934.8580439902,45934.8580439902,44843.5331228586,44942.7444793251,-800,-0.017353579175705,11878778
21/02/2024,46331.7034698562,46331.7034698562,45637.2239745907,45736.4353310572,-700,-0.0149572649572649,7012800
20/02/2024,46579.7318610224,46579.7318610224,45637.2239745907,46430.9148263227,0,0,9426400
19/02/2024,46133.2807569232,46827.7602521887,45786.0410092904,46430.9148263227,500,0.0107991360691144,8734200
16/02/2024,46034.0694004567,46232.4921133897,45438.8012616576,45934.8580439902,450,0.00981461286804808,5128000
15/02/2024,46579.7318610224,46629.3375392557,45488.4069398909,45488.4069398909,-750,-0.0160944206008584,9745100
07/02/2024,46579.7318610224,46678.9432174889,46083.6750786899,46232.4921133897,-400,-0.00851063829787235,6748100
06/02/2024,47125.3943215882,47125.3943215882,46430.9148263227,46629.3375392557,-400,-0.00843881856540085,9910000
05/02/2024,47125.3943215882,47224.6056780547,46430.9148263227,47026.1829651217,0,0,7536900
02/02/2024,46133.2807569232,47026.1829651217,45736.4353310572,47026.1829651217,1200,0.025974025974026,12775200
01/02/2024,44645.1104099256,46331.7034698562,44645.1104099256,45835.6466875237,1200,0.0266666666666666,11406100
31/01/2024,45339.5899051912,45538.0126181242,44297.8706622929,44645.1104099256,-400,-0.00881057268722463,9491600
30/01/2024,44248.2649840596,45091.5615140249,44149.0536275931,45041.9558357916,800,0.0179372197309418,7901200
29/01/2024,44595.5047316924,44793.9274446254,44149.0536275931,44248.2649840596,-300,-0.00668151447661469,4892300
26/01/2024,44645.1104099256,45141.1671922581,44397.0820187594,44545.8990534591,-300,-0.00663716814159288,4846900
25/01/2024,43901.0252364269,44843.5331228586,43752.2082017271,44843.5331228586,800,0.0180180180180181,8613100
24/01/2024,44843.5331228586,45091.5615140249,44000.2365928934,44049.8422711266,-1000,-0.0220264317180616,11048400
23/01/2024,45786.0410092904,45786.0410092904,44893.1388010919,45041.9558357916,-750,-0.0162513542795233,7364100
22/01/2024,45736.4353310572,45934.8580439902,44793.9274446254,45786.0410092904,100,0.00217155266015201,7975900
19/01/2024,45637.2239745907,46331.7034698562,44942.7444793251,45686.8296528239,200,0.00436205016357683,12844300
18/01/2024,44545.8990534591,45488.4069398909,44248.2649840596,45488.4069398909,950,0.0211581291759466,9333000
17/01/2024,43950.6309146601,45240.3785487246,43950.6309146601,44545.8990534591,600,0.0135440180586908,14801400
16/01/2024,42561.6719241291,44049.8422711266,42462.4605676626,43950.6309146601,1400,0.0326340326340326,18190100
15/01/2024,42214.4321764964,42958.5173499951,41916.7981070968,42561.6719241291,1000,0.0238663484486874,10125100
