,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
11/09/2024,71724.9175694045,72012.5843511,70861.9172243181,71533.1397149408,-300,-0.00400534045393863,3165231
10/09/2024,71724.9175694045,72396.1400600273,71245.4729332454,71820.8064966363,100,0.00133689839572182,3332434
09/09/2024,72012.5843511,72012.5843511,71149.5840060136,71724.9175694045,-600,-0.00795755968169765,2638800
06/09/2024,71820.8064966363,72396.1400600273,71724.9175694045,72300.2511327954,700,0.00937081659973216,3641800
05/09/2024,71245.4729332454,72300.2511327954,71053.6950787817,71629.0286421727,400,0.00538358008075379,5841142
04/09/2024,70286.5836609271,71437.250787709,70094.8058064635,71245.4729332454,400,0.00541271989174552,2839125
30/08/2024,70574.2504426226,71724.9175694045,70382.472588159,70861.9172243181,400,0.00544217687074822,3675800
29/08/2024,70670.1393698544,70957.8061515499,70382.472588159,70478.3615153908,-400,-0.00541271989174563,2042980
28/08/2024,70574.2504426226,70957.8061515499,70190.6947336953,70861.9172243181,400,0.00544217687074822,3352840
27/08/2024,70382.472588159,70766.0282970863,69615.3611703044,70478.3615153908,100,0.00136239782016356,4265844
26/08/2024,71820.8064966363,71916.6954238681,70286.5836609271,70382.472588159,-1500,-0.0200267022696929,6324827
23/08/2024,71820.8064966363,72492.0289872591,71341.3618604772,71820.8064966363,700,0.00943396226415105,3307633
22/08/2024,72875.5846961864,72875.5846961864,70574.2504426226,71149.5840060136,-1100,-0.0146082337317397,6025954
21/08/2024,72108.4732783318,72971.4736234182,72012.5843511,72204.3622055636,-300,-0.00396825396825395,3991045
20/08/2024,72875.5846961864,73067.36255065,72204.3622055636,72492.0289872591,-400,-0.00526315789473686,4177349
19/08/2024,70957.8061515499,72875.5846961864,70766.0282970863,72875.5846961864,2200,0.0298102981029811,7917931
16/08/2024,70957.8061515499,71053.6950787817,70190.6947336953,70766.0282970863,0,0,7392917
15/08/2024,70957.8061515499,71533.1397149408,70670.1393698544,70766.0282970863,-200,-0.00270270270270268,4255830
14/08/2024,70957.8061515499,71053.6950787817,70286.5836609271,70957.8061515499,200,0.00271002710027091,5456225
13/08/2024,69807.139024768,71341.3618604772,69711.2500975362,70766.0282970863,800,0.010958904109589,6834400
12/08/2024,70286.5836609271,71341.3618604772,69807.139024768,69998.9168792317,-300,-0.00409276944065484,5804000
09/08/2024,69807.139024768,70382.472588159,69519.4722430725,70286.5836609271,600,0.00825309491059145,4527500
08/08/2024,70861.9172243181,71341.3618604772,69231.8054613771,69711.2500975362,-1100,-0.0149051490514905,7611000
07/08/2024,70190.6947336953,70766.0282970863,69423.5833158407,70766.0282970863,1100,0.015130674002751,10740700
06/08/2024,67409.9158439724,70286.5836609271,67122.2490622769,69711.2500975362,3300,0.0475504322766571,13950400
05/08/2024,68081.1383345952,68272.9161890588,65683.9151537996,66546.915498886,-2100,-0.0293706293706294,12245500
02/08/2024,67122.2490622769,68944.1386796816,67122.2490622769,68560.5829707543,1200,0.0170697012802277,10290200
01/08/2024,68848.2497524498,68944.1386796816,67218.1379895088,67409.9158439724,-1300,-0.0181564245810056,8955800
31/07/2024,65683.9151537996,69040.0276069134,65683.9151537996,68656.4718979861,3900,0.0576070901033974,21564900
30/07/2024,64533.2480270177,65588.0262265677,64149.6923180904,64916.803735945,500,0.00744047619047628,6465600
29/07/2024,63478.4698274676,64820.9148087132,63190.8030457721,64437.3590997859,1400,0.0212765957446808,5781800
26/07/2024,62711.358409613,63478.4698274676,62711.358409613,63094.9141185403,200,0.00304878048780477,3275400
25/07/2024,62903.1362640767,62999.0251913085,62615.4694823812,62903.1362640767,0,0,1957600
24/07/2024,63094.9141185403,63382.5809002358,62903.1362640767,62903.1362640767,-300,-0.00455235204855842,3913500
23/07/2024,62903.1362640767,63574.3587546994,62807.2473368448,63190.8030457721,500,0.00764525993883791,3777800
22/07/2024,62615.4694823812,63286.691973004,62519.5805551494,62711.358409613,100,0.00153139356814691,2654800
19/07/2024,63190.8030457721,63190.8030457721,62423.6916279176,62615.4694823812,-600,-0.00910470409711683,3412700
18/07/2024,63286.691973004,63286.691973004,62807.2473368448,63190.8030457721,200,0.00304414003044151,2363000
17/07/2024,63478.4698274676,63766.1366091631,62903.1362640767,62999.0251913085,-400,-0.00605143721633883,3464800
16/07/2024,63670.2476819313,63957.9144636267,63382.5809002358,63382.5809002358,-100,-0.00151057401812693,2243700
15/07/2024,63574.3587546994,64149.6923180904,63478.4698274676,63478.4698274676,-100,-0.00150829562594268,2155300
12/07/2024,63670.2476819313,63862.0255363949,63382.5809002358,63574.3587546994,0,0,2189900
11/07/2024,64149.6923180904,64245.5812453222,63574.3587546994,63574.3587546994,-500,-0.00748502994011979,3787100
10/07/2024,64725.0258814813,65012.6926631768,64053.8033908586,64053.8033908586,-700,-0.0103703703703704,3991700
09/07/2024,64820.9148087132,65012.6926631768,64437.3590997859,64725.0258814813,-100,-0.00147928994082835,5045200
08/07/2024,64533.2480270177,64916.803735945,64245.5812453222,64820.9148087132,400,0.00595238095238093,4942400
